,Lipid-Metabolism-500_CP1275.csv,Aging-SFO_C2P2329.csv,ISD2.csv,Border-DA-Oligo_CP1528s.csv,MouseBrain20220523_VA00274_500_genes.csv,Zhuang-ABCA-1.csv,Vizgen_Receptor_panel.csv,Allen_Zeng.csv,ZengGenePanel.csv,Vizgen1000.csv
Lipid-Metabolism-500_CP1275.csv,100.0,33.13492063492063,27.77777777777778,42.06349206349206,80.55555555555556,19.444444444444443,10.119047619047619,20.833333333333332,13.293650793650794,25.99206349206349
Aging-SFO_C2P2329.csv,33.333333333333336,100.0,29.34131736526946,32.734530938123754,34.3313373253493,20.95808383233533,11.377245508982035,22.55489021956088,14.171656686626747,21.956087824351297
ISD2.csv,28.11244979919679,29.518072289156628,100.0,27.91164658634538,28.313253012048193,19.67871485943775,8.634538152610443,21.08433734939759,12.048192771084338,24.497991967871485
Border-DA-Oligo_CP1528s.csv,42.48496993987976,32.86573146292585,27.85571142284569,100.0,46.6933867735471,32.06412825651302,10.420841683366733,34.06813627254509,20.440881763527056,24.448897795591183
MouseBrain20220523_VA00274_500_genes.csv,81.2,34.4,28.2,46.6,100.0,25.0,12.2,26.2,16.2,27.2
Zhuang-ABCA-1.csv,8.73440285204991,9.358288770053475,8.73440285204991,14.260249554367201,11.140819964349376,100.0,12.210338680926917,97.77183600713012,42.51336898395722,17.914438502673796
Vizgen_Receptor_panel.csv,10.669456066945607,11.92468619246862,8.99581589958159,10.878661087866108,12.761506276150628,28.661087866108787,100.0,29.707112970711297,14.435146443514645,53.13807531380753
Allen_Zeng.csv,9.300265721877768,10.008857395925597,9.300265721877768,15.057573073516386,11.603188662533215,97.16563330380868,12.577502214348982,100.0,41.80690876882197,18.42338352524358
ZengGenePanel.csv,12.181818181818182,12.909090909090908,10.909090909090908,18.545454545454547,14.727272727272727,86.72727272727273,12.545454545454545,85.81818181818181,100.0,18.90909090909091
Vizgen1000.csv,13.804004214963118,11.591148577449948,12.855637513171759,12.855637513171759,14.330874604847208,21.180189673340358,26.7650158061117,21.91780821917808,10.95890410958904,100.0
